"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 11 22:58:45 CST 2019","Mon Nov 11 22:58:47 CST 2019","1821","","Gen3-dataclient:","","Gen3-dataclient:","Install gen3-client @manual","Install gen3-client @manual",""
"passed","Mon Nov 11 22:58:53 CST 2019","Mon Nov 11 22:58:54 CST 2019","1134","","Gen3-dataclient:","","Gen3-dataclient:","Create a folder and generate a test file @manual","Create a folder and generate a test file @manual",""
"passed","Mon Nov 25 23:56:35 CST 2019","Mon Nov 25 23:56:37 CST 2019","1989","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","Initiate the OIDC Client flow with NIH credentials to obtain the OAuth authorization code @manual","Initiate the OIDC Client flow with NIH credentials to obtain the OAuth authorization code @manual",""
"passed","Tue Nov 26 13:06:05 CST 2019","Tue Nov 26 13:06:16 CST 2019","11225","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","Test Fence's public keys endpoint @mehmeh","Test Fence's public keys endpoint @mehmeh",""
"passed","Mon Nov 25 23:56:31 CST 2019","Mon Nov 25 23:56:35 CST 2019","4004","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","Perform AWS S3 PreSigned URL positive test against DID with Google credentials @manual","Perform AWS S3 PreSigned URL positive test against DID with Google credentials @manual",""
"passed","Tue Nov 26 00:01:39 CST 2019","Tue Nov 26 00:01:57 CST 2019","17708","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","Try to get Google Credentials as a client @mehmeh","Try to get Google Credentials as a client @mehmeh",""
"passed","Mon Nov 25 23:56:26 CST 2019","Mon Nov 25 23:56:28 CST 2019","1961","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","Perform Google Storage PreSigned URL positive test against DID with Google credentials @manual","Perform Google Storage PreSigned URL positive test against DID with Google credentials @manual",""
"passed","Mon Nov 25 23:57:41 CST 2019","Tue Nov 26 00:00:28 CST 2019","167335","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","Try to get Google Credentials as a client @manual","Try to get Google Credentials as a client @manual",""
"passed","Tue Nov 26 13:13:06 CST 2019","Tue Nov 26 13:19:36 CST 2019","390809","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","Test the exploration page @mehmeh","Test the exploration page @mehmeh",""
"passed","Mon Nov 25 23:57:31 CST 2019","Mon Nov 25 23:57:33 CST 2019","1439","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","","Testing OIDC flow and pre-signed URL to check tokens - https://ctds-planx.atlassian.net/browse/PXP-4649:","Perform AWS S3 PreSigned URL negative test against DID with NIH credentials @manual","Perform AWS S3 PreSigned URL negative test against DID with NIH credentials @manual",""
